"name","description"
"Extend Your AI Search","Prescriptive guidance on extending your AI Search beyond the foundational level"
"Extend Your Employee Center to Pro","Prescriptive guidance on extending the Employee Center capabilities to include Pro features"
"Health Assessment - Guided","Understanding of the health of your instance and how it maps to ServiceNow leading practices. Delivery of actionable findings to improve overall platform health."
"Introduction to CMDB: Ingestion","Demonstration of the possibilities and capabilities of automating and standardizing CMDB data entry"
"Introduction to Instance Observer","Guidance on understanding and monitoring performance using Instance Observer."
"Introduction to Instance Readiness Asses","Guidance on understanding and interpreting instance readiness using the Instance Readiness Assessment (IRA)."
"Jumpstart Your AI Agent Studio","Overview and applied demonstration of AI Agent Studio within the ServiceNow Platform"
"Jumpstart Your AI Agents for CSM","Demonstration of the possibilities and capabilities of AI Agents for Customer Service Management (CSM)"
"Jumpstart Your AI Agents for ITSM","Demonstration of the possibilities and capabilities of AI Agents for IT Service Management (ITSM)"
"Jumpstart Your AI Search","Applied demonstration of AI Search's features and performance. Prescriptive guidance on how to empower your users to find the answers they need when and where they need them."
"Jumpstart Your App Engine","Prescriptive guidance on enabling Citizen Development and how to empower users to develop applications on the ServiceNow platform."
"Jumpstart Your Automated Testing","Guidance on understanding how Automated Test Framework (ATF) can be leveraged to accelerate upgrades and increase quality."
"Jumpstart Your CMDB","Demonstration of the possibilities and capabilities of the Configuration Management Database (CMDB)."
"Jumpstart your CSDM: Crawl","Overview of the Crawl phase of the CSDM maturity journey, brief assessment of current Crawl data, and actionable steps to complete the phase."
"Jumpstart Your CSDM: Foundation","High-level overview and breakdown of the Common Service Data Model (CSDM) with a focus on Foundation data"
"Jumpstart Your CSM Configurable Workspac","Overview and applied demonstration of the features and capabilities of the Customer Service Management (CSM) Configurable Workspace, including guidance on how to get started."
"Jumpstart Your Database Management","Demonstration of database management tools and capabilities in ServiceNow."
"Jumpstart Your Employee Center","Introduction to the Employee Center with an applied demonstration of the possibilities and capabilities to enhance your employee experience."
"Jumpstart Your Employee Journey Manageme","Demonstration of the possibilities and capabilities of Employee Journey Management"
"Jumpstart Your Event Management","Demonstration of the possibilities and capabilities of Event Management"
"Jumpstart Your External Content Connecto","Demonstration of the possibilities and capabilities of External Content Connectors (XCC)."
"Jumpstart Your GenAI","Demonstration of the possibilities and capabilities of ServiceNow GenAI."
"Jumpstart Your Issue Auto Resolution","Demonstration of the possibilities and capabilities of Issue Auto Resolution (IAR)"
"Jumpstart Your Knowledge Management","Demonstration of the possibilities and capabilities of Knowledge Management"
"Jumpstart Your Legacy Workflow Migration","Prescriptive guidance for migrating from Legacy Workflows to modern low-code automation tools"
