name,description,accelerator_text
Extend Your AI Search,Prescriptive guidance on extending your AI Search beyond the foundational level,extend your ai search prescriptive guidance on extending your ai search beyond the foundational level
Extend Your Employee Center to Pro,Prescriptive guidance on extending the Employee Center capabilities to include Pro features,extend your employee center to pro prescriptive guidance on extending the employee center capabilities to include pro features
Health Assessment - Guided,Understanding of the health of your instance and how it maps to ServiceNow leading practices. Delivery of actionable findings to improve overall platform health.,health assessment - guided understanding of the health of your instance and how it maps to servicenow leading practices. delivery of actionable findings to improve overall platform health.
Introduction to CMDB: Ingestion,Demonstration of the possibilities and capabilities of automating and standardizing CMDB data entry,introduction to cmdb: ingestion demonstration of the possibilities and capabilities of automating and standardizing cmdb data entry
Introduction to Instance Observer,Guidance on understanding and monitoring performance using Instance Observer.,introduction to instance observer guidance on understanding and monitoring performance using instance observer.
Introduction to Instance Readiness Asses,Guidance on understanding and interpreting instance readiness using the Instance Readiness Assessment (IRA).,introduction to instance readiness asses guidance on understanding and interpreting instance readiness using the instance readiness assessment (ira).
Jumpstart Your AI Agent Studio,Overview and applied demonstration of AI Agent Studio within the ServiceNow Platform,jumpstart your ai agent studio overview and applied demonstration of ai agent studio within the servicenow platform
Jumpstart Your AI Agents for CSM,Demonstration of the possibilities and capabilities of AI Agents for Customer Service Management (CSM),jumpstart your ai agents for csm demonstration of the possibilities and capabilities of ai agents for customer service management (csm)
Jumpstart Your AI Agents for ITSM,Demonstration of the possibilities and capabilities of AI Agents for IT Service Management (ITSM),jumpstart your ai agents for itsm demonstration of the possibilities and capabilities of ai agents for it service management (itsm)
Jumpstart Your AI Search,Applied demonstration of AI Search's features and performance. Prescriptive guidance on how to empower your users to find the answers they need when and where they need them.,jumpstart your ai search applied demonstration of ai search's features and performance. prescriptive guidance on how to empower your users to find the answers they need when and where they need them.
Jumpstart Your App Engine,Prescriptive guidance on enabling Citizen Development and how to empower users to develop applications on the ServiceNow platform.,jumpstart your app engine prescriptive guidance on enabling citizen development and how to empower users to develop applications on the servicenow platform.
Jumpstart Your Automated Testing,Guidance on understanding how Automated Test Framework (ATF) can be leveraged to accelerate upgrades and increase quality.,jumpstart your automated testing guidance on understanding how automated test framework (atf) can be leveraged to accelerate upgrades and increase quality.
Jumpstart Your CMDB,Demonstration of the possibilities and capabilities of the Configuration Management Database (CMDB).,jumpstart your cmdb demonstration of the possibilities and capabilities of the configuration management database (cmdb).
Jumpstart your CSDM: Crawl,"Overview of the Crawl phase of the CSDM maturity journey, brief assessment of current Crawl data, and actionable steps to complete the phase.","jumpstart your csdm: crawl overview of the crawl phase of the csdm maturity journey, brief assessment of current crawl data, and actionable steps to complete the phase."
Jumpstart Your CSDM: Foundation,High-level overview and breakdown of the Common Service Data Model (CSDM) with a focus on Foundation data,jumpstart your csdm: foundation high-level overview and breakdown of the common service data model (csdm) with a focus on foundation data
Jumpstart Your CSM Configurable Workspac,"Overview and applied demonstration of the features and capabilities of the Customer Service Management (CSM) Configurable Workspace, including guidance on how to get started.","jumpstart your csm configurable workspac overview and applied demonstration of the features and capabilities of the customer service management (csm) configurable workspace, including guidance on how to get started."
