number,capability,company,description,initiative_title,primary_category,request_text,cluster,x,y
A2E00001,Reporting and Visualization Export,BrightVision Consulting,"The customer needs an easy way to export dashboard visualizations as high-resolution images for presentations and reports. They are seeking guidance on available export features, best practices, and how to maintain image quality when sharing analytics outside the Servicenow platform.",Export Visualizations as High-Resolution Images,Technical How-To,"reporting and visualization export the customer needs an easy way to export dashboard visualizations as high-resolution images for presentations and reports. they are seeking guidance on available export features, best practices, and how to maintain image quality when sharing analytics outside the servicenow platform. export visualizations as high-resolution images technical how-to",2,0.9794635,5.894833
A2E00002,User Authentication and Security Policies,Acme Financial Solutions,"The customer is concerned about the risk of unauthorized access due to repeated failed login attempts. Their goal is to implement an effective account lockout mechanism that balances security and user experience, ensuring legitimate users can regain access easily while locking accounts only in cases of suspicious activity.",Enhance Account Security via Intelligent Lockout,Technical How-To,"user authentication and security policies the customer is concerned about the risk of unauthorized access due to repeated failed login attempts. their goal is to implement an effective account lockout mechanism that balances security and user experience, ensuring legitimate users can regain access easily while locking accounts only in cases of suspicious activity. enhance account security via intelligent lockout technical how-to",15,3.0893252,1.2710528
A2E00003,Data Storage Management,CloudBridge Inc.,"The team has recently experienced rapid growth and has approached us with concerns about running out of storage capacity within their current configuration. Their primary goal is to ensure seamless scalability and avoid any disruptions to ongoing projects. They are seeking guidance on the best practices for expanding storage in the Servicenow environment and want to understand available options, costs, and technical implications before proceeding.",Request for Increased Storage Capacity,Technical How-To,"data storage management the team has recently experienced rapid growth and has approached us with concerns about running out of storage capacity within their current configuration. their primary goal is to ensure seamless scalability and avoid any disruptions to ongoing projects. they are seeking guidance on the best practices for expanding storage in the servicenow environment and want to understand available options, costs, and technical implications before proceeding. request for increased storage capacity technical how-to",-1,0.17959495,4.861547
A2E00004,Role-Based Access Control (RBAC),Northbridge Solutions,The customer seeks to implement view-only permissions for selected users within their ServiceNow environment to restrict editing capabilities while maintaining transparency and access to critical information. Their goal is to ensure compliance with internal audit requirements and minimize risks associated with unauthorized changes to workflows and records.,Enable View-Only Access for Targeted User Groups,Technical How-To,role-based access control (rbac) the customer seeks to implement view-only permissions for selected users within their servicenow environment to restrict editing capabilities while maintaining transparency and access to critical information. their goal is to ensure compliance with internal audit requirements and minimize risks associated with unauthorized changes to workflows and records. enable view-only access for targeted user groups technical how-to,14,2.3333418,2.2490003
A2E00005,Analytics and Reporting,Acme Enterprises,"The customer seeks guidance on understanding the significance and impact of detected anomalies in trend reports, aiming to interpret these results to make informed business decisions and improve operational efficiency.",Interpreting Trend Report Anomalies,Technical How-To,"analytics and reporting the customer seeks guidance on understanding the significance and impact of detected anomalies in trend reports, aiming to interpret these results to make informed business decisions and improve operational efficiency. interpreting trend report anomalies technical how-to",2,0.53735554,5.1446614
A2E00006,Event Management with Automated Alerting,NovaTech Solutions,"The customer is concerned about sudden increases in ticket volume and seeks strategies to proactively detect and respond to these spikes. Their goal is to leverage analytics and automation to reduce response time, minimize potential service disruptions, and maintain high customer satisfaction.",Proactive Alerting for Ticket Volume Spikes,Technical How-To,"event management with automated alerting the customer is concerned about sudden increases in ticket volume and seeks strategies to proactively detect and respond to these spikes. their goal is to leverage analytics and automation to reduce response time, minimize potential service disruptions, and maintain high customer satisfaction. proactive alerting for ticket volume spikes technical how-to",17,-1.9577295,3.3889108
A2E00007,Anomaly Detection and Alerting,Acme Solutions,The customer wants to set up configurable thresholds for anomaly notifications to proactively identify performance or security issues before they impact end users. They are seeking best practices on threshold management and alerting to optimize monitoring.,Configurable Anomaly Notification Thresholds,Technical How-To,anomaly detection and alerting the customer wants to set up configurable thresholds for anomaly notifications to proactively identify performance or security issues before they impact end users. they are seeking best practices on threshold management and alerting to optimize monitoring. configurable anomaly notification thresholds technical how-to,17,-1.3040488,3.1360066
A2E00008,Incident Management,Acme Corp,"Following a recent update to the ServiceNow platform, the user has encountered a bug that affects incident ticket routing. The customer aims to understand the root cause, ensure future update stability, and enhance their team's troubleshooting capabilities.",Incident Routing Bug Investigation Post-Update,Technical How-To,"incident management following a recent update to the servicenow platform, the user has encountered a bug that affects incident ticket routing. the customer aims to understand the root cause, ensure future update stability, and enhance their team's troubleshooting capabilities. incident routing bug investigation post-update technical how-to",17,-2.611093,4.0497775
A2E00009,License Provisioning Automation,Apex Dynamics Inc.,"The company is onboarding a significant number of new hires and wants to streamline the process of assigning the correct software licenses. The team is looking to automate license provisioning based on predefined roles, reduce manual errors, and improve compliance tracking throughout the onboarding workflow.",Automated Software License Assignment for New Hires,Solution Review,"license provisioning automation the company is onboarding a significant number of new hires and wants to streamline the process of assigning the correct software licenses. the team is looking to automate license provisioning based on predefined roles, reduce manual errors, and improve compliance tracking throughout the onboarding workflow. automated software license assignment for new hires solution review",10,3.8798995,3.6340997
A2E00010,User Access Management,Acme Corporation,"The new employee requires access to the platform dashboard to effectively monitor key operational metrics and participate in team workflows. The goal is to ensure user onboarding is seamless, permissions are correctly configured, and the employee can leverage platform capabilities for day-to-day activities.",Enable Dashboard Access for New Employee,Technical How-To,"user access management the new employee requires access to the platform dashboard to effectively monitor key operational metrics and participate in team workflows. the goal is to ensure user onboarding is seamless, permissions are correctly configured, and the employee can leverage platform capabilities for day-to-day activities. enable dashboard access for new employee technical how-to",14,2.2714608,2.2622736
